term,name,section,component,title,startTime,endTime,monday,tuesday,wednesday,thursday,friday,online,preReq,coReq,association,labRequired,requireEngineer,id
Winter,COMP249,S,LEC,OBJ-ORIENTED PROGRAMMING II,525,600,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP248,,1028,TRUE,N,445
Winter,COMP248,S,LEC,OBJ-ORIENTED PROGRAMMING I,1065,1215,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1021,TRUE,N,446
Winter,COMP249,S SA,TUT,OBJ-ORIENTED PROGRAMMING II,615,715,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP248,,1028,TRUE,N,447
Winter,COMP352,S SA,TUT,DATA STRUCTURES + ALGORITHMS,885,935,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP 249,COMP 232,1052,FALSE,NOENG,448
Winter,COMP248,S SA,TUT,OBJ-ORIENTED PROGRAMMING I,1230,1330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1021,TRUE,N,449
Winter,COMP249,S SB,TUT,OBJ-ORIENTED PROGRAMMING II,615,715,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP248,,1028,TRUE,N,450
Winter,COMP352,S SB,TUT,DATA STRUCTURES + ALGORITHMS,885,935,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP 249,COMP 232,1052,FALSE,NOENG,451
Winter,COMP248,S SB,TUT,OBJ-ORIENTED PROGRAMMING I,1230,1330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1021,TRUE,N,452
Winter,COMP249,S SC,TUT,OBJ-ORIENTED PROGRAMMING II,615,715,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP248,,1028,TRUE,N,453
Winter,COMP249,S-X,LAB,OBJ-ORIENTED PROGRAMMING II,990,1050,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP248,,,TRUE,N,454
Winter,COMP248,U,LEC,OBJ-ORIENTED PROGRAMMING I,615,690,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,1022,TRUE,Y,455
Winter,COMP232,U,LEC,MATH. FOR COMPUTER SCIENCE,795,870,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,1012,TRUE,NOENG,456
Winter,COMP249,U,LEC,OBJ-ORIENTED PROGRAMMING II,615,690,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,COMP248,,1029,TRUE,N,457
Winter,COMP248,U UA,TUT,OBJ-ORIENTED PROGRAMMING I,705,805,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,1022,TRUE,Y,458
Winter,COMP232,U UA,TUT,MATH. FOR COMPUTER SCIENCE,885,985,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1012,FALSE,NOENG,459
Winter,COMP249,U UA,TUT,OBJ-ORIENTED PROGRAMMING II,615,715,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP248,,1029,TRUE,N,460
Winter,COMP248,U UB,TUT,OBJ-ORIENTED PROGRAMMING I,705,805,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1022,TRUE,Y,461
Winter,COMP232,U UB,TUT,MATH. FOR COMPUTER SCIENCE,885,985,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1012,FALSE,NOENG,462
Winter,COMP249,U UB,TUT,OBJ-ORIENTED PROGRAMMING II,705,805,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP248,,1029,TRUE,N,463
Winter,COMP474,UU,LEC,INTELLIGENT SYSTEMS,1065,1215,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"(COMP352, COEN352)",,,TRUE,NOENG,464
Winter,COMP346,UU,LEC,OPERATING SYSTEMS,1065,1215,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7332,TRUE,Y,465
Winter,COMP346,UUUA,TUT,OPERATING SYSTEMS,995,1045,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7332,TRUE,Y,466
Winter,COMP346,UUUB,TUT,OPERATING SYSTEMS,935,985,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7332,TRUE,Y,467
Winter,COMP445,W,LEC,DATA COMM + COMP NETWORKS,795,870,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP346,,,TRUE,NOENG,468
Winter,COMP248,W,LEC,OBJ-ORIENTED PROGRAMMING I,705,780,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,1023,TRUE,N,469
Winter,COMP248,W WA,TUT,OBJ-ORIENTED PROGRAMMING I,615,710,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1023,TRUE,N,470
Winter,COMP248,W WB,TUT,OBJ-ORIENTED PROGRAMMING I,885,985,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1023,TRUE,N,471
Winter,COMP371,WW,LEC,COMPUTER GRAPHICS,1065,1215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"COMP352, COEN352",,,TRUE,NOENG,472
