term	subject	courseNumber	section	component	name	location	startTime	endTime	monday	tuesday	wednesday	thursday	friday	online	enrollmentCap	preReq	coReq	equivalent	association	requireEngineer
Winter	COMP	346	NN	LEC	OPERATING SYSTEMS	H620	17.45.00	20.15.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	90	"(COMP 228, SOEN 228), COMP 352."			1038	Y
Winter	COMP	232	NN	LEC	MATH. FOR COMPUTER SCIENCE	H535	17.45.00	20.15.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	120			COMP 238	1011	NOENG
Winter	COMP	232	NNNA	TUT	MATH. FOR COMPUTER SCIENCE	H433	20.30.00	22.10.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	60			COMP 238	1011	NOENG
Winter	COMP	346	NNNA	TUT	OPERATING SYSTEMS	H429	20.30.00	21.20.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	45	"(COMP 228, SOEN 228), COMP 352."			1038	Y
Winter	COMP	361	NNNA	TUT	ELEMENTARY NUMERICAL METHODS	H920	20.30.00	21.20.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	80	"COMP249, (COMP238, COMP232)"			1061	NOENG
Winter	COMP	232	NNNB	TUT	MATH. FOR COMPUTER SCIENCE	H433	20.30.00	22.10.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	60			COMP 238	1011	NOENG
Winter	COMP	346	NNNB	TUT	OPERATING SYSTEMS	H429	13.15.00	14.05.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	45	"(COMP 228, SOEN 228), COMP 352."			1038	Y
Winter	COMP	472	NNNI	LAB	ARTIFICIAL INTELLIGENCE	H843	20.25.00	22.25.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	15	"(COMP352, COEN352)"				NOENG
Winter	COMP	472	NNNJ	LAB	ARTIFICIAL INTELLIGENCE	H929	17.45.00	19.45.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	30	"(COMP352, COEN352)"				NOENG
Winter	COMP	472	NNNK	LAB	ARTIFICIAL INTELLIGENCE	H847	20.25.00	22.25.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	15	"(COMP352, COEN352)"				NOENG
Winter	COMP	472	NNNL	LAB	ARTIFICIAL INTELLIGENCE	H849	20.25.00	22.25.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	17	"(COMP352, COEN352)"				NOENG
Winter	COMP	472	NNNM	LAB	ARTIFICIAL INTELLIGENCE	H817	20.25.00	22.25.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	16	"(COMP352, COEN352)"				NOENG
Winter	COMP	472	NNNN	LAB	ARTIFICIAL INTELLIGENCE	H825	17.45.00	19.45.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	12	"(COMP352, COEN352)"				NOENG
Winter	COMP	472	NNNO	LAB	ARTIFICIAL INTELLIGENCE	H827	17.45.00	19.45.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	8	"(COMP352, COEN352)"				NOENG
Winter	COMP	249	PP	LEC	OBJ-ORIENTED PROGRAMMING II	H420	17.45.00	20.15.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	90	COMP248			1026	Y
Winter	COMP	354	PP	LEC	SOFTWARE ENGINEERING I	H820	17.45.00	20.15.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	90	"COMP352, ENCS282"		COEN 431	1059	NOENG
Winter	COMP	228	PP	LEC	SYSTEM HARDWARE	H415	17.45.00	20.15.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	105			SOEN 228	1005	NOENG
Winter	COMP	249	PPPA	TUT	OBJ-ORIENTED PROGRAMMING II	H609	20.30.00	22.10.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	45	COMP248			1026	Y
Winter	COMP	354	PPPA	TUT	SOFTWARE ENGINEERING I	H619	20.30.00	21.20.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	45	"COMP352, ENCS282"		COEN 431	1059	NOENG
Winter	COMP	228	PPPA	TUT	SYSTEM HARDWARE	H562	20.30.00	22.10.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	35			SOEN 228	1005	NOENG
Winter	COMP	354	PPPB	TUT	SOFTWARE ENGINEERING I	H429	20.30.00	21.20.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	45	"COMP352, ENCS282"		COEN 431	1059	NOENG
